id,code,title,category,severity,origin,verification,evidence_grade,files,found_by,symptom,root_cause,evidence,fix,phase,sort_order
"NEW-2","NEW-2","GUI engine locator cannot find the engine in the default build layout","new","critical","this-pass","confirmed","V1","src/qtui/MainWindow.cpp:26","this pass (extends U-MISS-5 / U-B2)","GUI sets enginePath_ to applicationDirPath()/gifsicle once in the constructor and never probes anywhere else. build.sh puts the engine at release/<ver>/gifsicle and the GUI at build/gui/gifscythe (qmake) or build/gifscythe (cmake). Those directories are not the same. On Windows the binary is gifsicle.exe and the locator does not append .exe. First-run GUI users always hit 'Could not start gifsicle' unless they manually copy the engine beside the GUI — which the packager also fails to do for .exe (NEW-5).","A one-line absolute-looking path that is actually layout-relative and platform-naive. No startup exists() check, so the failure is deferred to Run.","MainWindow.cpp:26 is the only assignment to enginePath_. No other search. package_portable.sh copies `release/$version/gifsicle` (no .exe) next to a GUI that looks for `./gifsicle`. On a Linux qmake build the GUI lives in build/gui/, engine in release/0.1.0/.","Same EngineLocator as U-MISS-5, with .exe on Windows. At startup, if not found, disable Run and put the missing path in the status bar instead of 'Ready'.","P0","510"
"NEW-3","NEW-3","FEASIBILITY promised a two-way live CLI pane — reverse parser does not exist","new","major","this-pass","confirmed","V1","FEASIBILITY_REVIEW.md §3(2) · src/qtui/MainWindow.cpp command pane · src/core/","this pass (stronger than U-M3)","The architecture review that the project treats as law says: 'a live raw-CLI pane that two-way syncs with the widgets (change a slider → the CLI text updates; edit the CLI text → the widgets update). Power users get 100% of the tool.' The pane is read-only (setReadOnly(true)), one-way, and not even fully one-way (U-M3). There is no argv→Settings parser at all.","MVP implemented Settings→argv (GifsicleCommand) and stopped. The reverse direction was the actual 'retain terminal control' feature.","FEASIBILITY_REVIEW.md: 'exposing a live raw-CLI pane that two-way syncs with the widgets'. MainWindow.cpp:76 commandPane_->setReadOnly(true). No parse_command() / fromArgs() anywhere in src/core.","After P0 honesty work: either (a) keep the pane read-only and change the docs/label so they stop promising two-way, or (b) add gs::parse_args() and make the pane editable. Do not ship 1.0.0 claiming two-way if it is (a).","P1","520"
"NEW-4","NEW-4","Delay unit trap: FEASIBILITY maps 'ms' onto gifsicle -d (centiseconds)","new","major","this-pass","confirmed","V1","FEASIBILITY_REVIEW.md mapping table · GifsicleSettings.h:69 · examples/animation.conf","this pass","The mapping table the UI/UX retrofit is supposed to follow says 'Per-frame delay (ms)' → `-d`. gifsicle -d is in 1/100 second, not milliseconds. A slider labelled milliseconds that writes delay_cs will make every animation 10× too slow. Core currently names the field delay_cs — the trap is in the doc the next session is told to implement.","Feasibility table written from memory of 'delay is a time' without checking the man page unit.","GifsicleSettings.h: `int delay_cs = -1; // -d, in 1/100 sec`. animation.conf `delay = 5` (50 ms). gifsicle.1 and options[]: `{ \"delay\", 'd', 'd', Clp_ValInt, Clp_Negate }`. FEASIBILITY table row: 'Per-frame delay (ms) | -d'.","Correct the mapping table now. GUI label must say 'Delay (1/100 s)' or convert ms÷10 with a visible note. Add a unit test that delay=5 emits `-d 5`, not 50.","P1","530"
"NEW-5","NEW-5","Packagers never copy gifsicle.exe — Windows portable folder is engine-less","new","major","this-pass","confirmed","V1","scripts/package_portable.sh:7–12 · scripts/package_system.sh:8 · scripts/build_gifsicle.sh:31","this pass (extends U-M6 / U-MISS-12)","build_gifsicle.sh --windows writes release/<ver>/gifsicle.exe. package_portable.sh requires `-x release/<ver>/gifsicle` (no .exe) and copies that. On Windows the test fails and the script exits 1, or if someone renamed the file, the GUI still looks for `gifsicle` (NEW-2). The portable Windows story WORKLIST calls 'the path to 1.0.0' cannot succeed with these scripts as written.","Scripts are Linux-only in their binary names despite the product being Windows-first (PROJECT_VISION).","build_gifsicle.sh:31 EXE=gifsicle.exe for windows, :34 EXE=gifsicle otherwise. package_portable.sh:7 `engine=.../gifsicle` then :9 `[[ -x $engine ]] || exit 1`. package_system.sh loops the same nameless-exe path.","Probe gifsicle then gifsicle.exe. Copy whichever exists. GUI locator must match. Add a CI assertion that the portable folder contains the engine AND the GUI on Windows.","P1","540"
"NEW-6","NEW-6","GifsicleCommand stores a const Settings& — temporaries dangle","new","major","this-pass","confirmed","V1","src/core/GifsicleCommand.h:20, 31","this pass","`GifsicleCommand cmd(currentSettings()); cmd.toString();` is undefined behavior: currentSettings() returns by value, the temporary is bound in the ctor, then destroyed, leaving settings_ dangling. Current call sites happen to use named locals so they are safe. The type is a landmine for the GUI retrofit (every new widget helper will be tempted to write the temporary form).","Header-only builder kept a reference to avoid copying a struct with vectors. Lifetime was never part of the contract.","GifsicleCommand.h: `explicit GifsicleCommand(const Settings& s) : settings_(s) {}` and `const Settings& settings_;`. MainWindow currently does `const auto settings = currentSettings(); GifsicleCommand cmd(settings);` — safe by accident. No value/move ctor.","Store Settings by value (it is small). Or take Settings by value in the ctor. Add a unit test that constructs from a prvalue and reads args().","P1","550"
"NEW-7","NEW-7","SettingsIO uses std::tolower without <cctype>; CLI uses istringstream without <sstream>","new","minor","this-pass","confirmed","V1","src/core/SettingsIO.h:19–20 · src/cli/main.cpp:120","this pass","Both compile on this libstdc++ only because of transitive includes. A different standard library, or a future header cleanup, breaks the CLI and the parser. This is the kind of 'green on my machine' defect the project already has too many of.","Headers relied on whatever <string>/<fstream> pulled in.","SettingsIO.h includes fstream, sstream, string, vector — not cctype — then `std::tolower((unsigned char)c)`. cli/main.cpp includes SettingsIO.h, GifsicleCommand.h, cstdio, cstring, cstdlib, string, vector, unistd.h — not sstream — then `std::istringstream iss(content);`. Both compiled clean with -Wall -Wextra -pedantic here via transitive includes.","Include what you use: <cctype> in SettingsIO.h, <sstream> (and drop unistd.h behind a POSIX guard) in main.cpp.","P1","560"
"NEW-8","NEW-8","74 MB Caesium binary bundle committed; no root .gitignore; duplicate gifsicle trees","new","minor","this-pass","confirmed","V1","reference_code/caesium-bin/ · reference_code/gifsicle-nested-1.96/ · (no root .gitignore)","this pass","FEASIBILITY_REVIEW says adapt Caesium from source, not binaries, and notes the GPL-v3 vs gifsicle GPL-v2-only conflict. The repo nevertheless ships the full Caesium 2.8.5 Windows app (Caesium Image Compressor.exe + Qt6 DLLs, 74 MB, 62 files). A second full gifsicle 1.96 tree (gifsicle-nested-1.96) duplicates reference_code/gifsicle. No root .gitignore, so future clones of caesium-source/ and gifsicle-upstream/ will be tempting to commit. Repo is 106 MB for a 0.1.0 skeleton.","Reference material was copied in wholesale. SESSION_HANDOFF says reference_code is read-only; it does not say 'do not ship someone else's product'.","du: caesium-bin 74M, gifsicle 1.3M, gifsicle-nested-1.96 1.3M, whole clone 106M. git ls-files caesium-bin | wc -l → 62. ls root .gitignore → not found. FEASIBILITY: 'Caveat A — no source in the repo: To adapt the GUI you must start from Caesium's source, not the binaries.'","Gitignore caesium-bin or replace with a README pointer. Drop gifsicle-nested-1.96 unless a diff against gifsicle/ is documented. Add a root .gitignore for reference clones, build trees, and portable folders. Do not redistribute Caesium's packaged app.","P1","570"
"NEW-9","NEW-9","CLI base_dir is only absolutized when the settings path has no slash","new","major","this-pass","reproduced","V1","src/cli/main.cpp:72–81, 104–106","this pass (sharpens U-B2)","Comment: 'Make base_dir absolute so it works regardless of CWD.' Implementation: only if base_dir == \".\". For the documented `examples/animation.conf`, base_dir stays the relative string `examples`, repo_root becomes `examples`, and the engine probe becomes `examples/working_code/gifscythe/release/0.1.0/gifsicle`.","getcwd branch was written for the no-directory case and never extended to realpath(settings_path).","This pass from working_code/gifscythe: engine path printed as `examples/working_code/gifscythe/release/0.1.0/gifsicle`. From /tmp with an absolute settings path the string-sniff works. Lines 78–81 are the only getcwd call.","realpath / std::filesystem::absolute the settings file first; derive base_dir from that. Deletes most of the repo_root sniff.","P0","580"
"NEW-10","NEW-10","Include-guard typo GIFSYCYTHE (missing C) in every header","new","minor","this-pass","confirmed","V1","GifsicleSettings.h, GifsicleCommand.h, SettingsIO.h, MainWindow.h","this pass","Guards are GIFSYCYTHE_CORE_* / GIFSYCYTHE_MAINWINDOW_H. Harmless today, but a later 'fix the typo in one header' creates a second include of the same file under a new guard — ODR / redefinition hell during the retrofit.","Product name Gifscythe, guard written as Gifsycthe.","All four headers. Settings.h:12 `#ifndef GIFSYCYTHE_CORE_GIFSICLE_SETTINGS_H`.","Rename to GIFSCYTHE_* in one commit, all headers together.","P2","590"
"NEW-11","NEW-11","test_engine.sh ((PASS++)) is a set -e landmine; no .gitattributes for *.sh","new","minor","this-pass","confirmed","V1","scripts/test_engine.sh:10, 28–29 · (no .gitattributes)","this pass (extends N10 note)","ok() does `((PASS++))`. When PASS is 0 the arithmetic expression evaluates to 0, so the command's exit status is 1. The script currently uses `set -uo pipefail` without -e, so it survives. The moment someone 'fixes' the script by adding -e (or sources it from a stricter runner), the first passing test aborts the suite with a false failure. Also no .gitattributes to force LF on *.sh — CRLF checkout on Windows breaks shebangs.","Classic bash ((var++)) pitfall. Unix scripts committed without eol normalization.","test_engine.sh:10 `set -uo pipefail`. :28 `ok() { echo \"  PASS: $1\"; ((PASS++)); }`. This pass the suite printed 5 passed / 0 failed because -e is off. No .gitattributes in the clone.","ok() { echo …; PASS=$((PASS+1)); } or `((++PASS))`. Add `set -e` only after that. Add `.gitattributes` with `*.sh text eol=lf`.","P2","600"
"NEW-12","NEW-12","CLI is POSIX-only: unistd.h, '/', getcwd — Windows paths treated as relative","new","major","this-pass","confirmed","V1","src/cli/main.cpp:21, 44, 74–80, 93, 109","this pass","PROJECT_VISION: Windows-first. CLI includes <unistd.h>, splits on '/', treats p[0]=='/' as the only absolute-path test. A settings path `C:\\…\\animation.conf` is 'relative'. Drive-letter engine paths never match `engine_path[0] != '/'`. MinGW may compile it; MSVC will not. Combined with NEW-1/NEW-5 the Windows CLI story has no working path.","CLI written on Linux as a proof and never ported, despite being the 'power-user terminal interface' the GUI pane is supposed to match.","main.cpp:21 `#include <unistd.h>`. :44 `p[0]=='/'`. :74 `find_last_of('/')`. :93 `settings_path[0]=='/'`. :109 `engine_path[0] != '/'`. No _fullpath, no std::filesystem, no wchar API.","Use std::filesystem::path everywhere (C++17 is already the project standard). exists(), absolute(), parent_path(). Drop unistd.h. This also fixes NEW-9.","P0","610"
"NEW-13","NEW-13","Do not 'fix' crop syntax — FEASIBILITY table is wrong, code is right","new","advisory","this-pass","confirmed","V1","FEASIBILITY_REVIEW.md mapping table · GifsicleCommand.h:138–141","this pass","The mapping table writes `--crop X,Y,WxH` (comma before size). gifsicle wants `--crop X,Y+WIDTHxHEIGHT` (plus form). The code already emits `0,0+30x60` and the unit test asserts that. A well-meaning retrofit that 'aligns code to the table' would generate a flag gifsicle rejects.","Feasibility table approximated the man page. Code was checked against the engine.","Unit test 5: CHECK(has(args, \"0,0+30x60\")). GifsicleCommand build() concatenates x,y + '+' + w + 'x' + h. Man page (and this pass's engine) accept the plus form. Table row: 'Crop box | --crop X,Y,WxH'.","Edit the table, not the emitter. Same discipline as the N1/N2/N14 refutations: do not change correct code to match a wrong document.","P1","620"
"NEW-14","NEW-14","Named --gamma values (srgb|oklab) from the mapping table are unmodeled","new","minor","this-pass","confirmed","V1","GifsicleSettings.h:80 · GifsicleCommand.h:87 · gifsicle.c GAMMA_OPT","this pass","FEASIBILITY maps 'Gamma / color math' to `--gamma=srgb|oklab|NUM`. Core stores a double and emits `--gamma <float>` as two arguments. srgb/oklab cannot be expressed. Also f2s() uses default ostream precision, so 2.2 may round-trip as 2.2000000000000002.","Numeric-only field. Engine option is Clp_ValString, so named gammas are legal.","gifsicle.c: `{ \"gamma\", 0, GAMMA_OPT, Clp_ValString, Clp_Negate }`. Settings.gamma is double. Command emits two argv tokens, which is fine for a required value, but cannot carry 'srgb'.","Store gamma as string (empty = unchanged). Emit --gamma=srgb / --gamma=2.2 attached-or-two-arg. Not P0.","P3","630"
"NEW-15","NEW-15","Unit test 4 is tautological; load_settings_file swallows missing files","new","minor","this-pass","confirmed","V1","tests/test_gifsicle_command.cpp:87–94 · SettingsIO.h:116–119","this pass (extends U-MISS-6)","Defaults test: `CHECK(args.empty() || has(args, \"a.gif\"));` — if the builder dropped the input, args.empty() is true and the test still PASSES. load_settings_file returns Settings{} when the file cannot be opened, with no error. Together they make 'green tests' compatible with silent failure.","Defensive CHECK written so it cannot fail. File helper written for convenience without an error channel.","test lines 93–94. SettingsIO.h:117–118 `if (!f) return Settings{};`. 35/35 passed this pass including test 4.","CHECK(has(args, \"a.gif\")); CHECK(!args.empty());. load_settings_file should return optional<Settings> or throw/set an error. Add the missing-file case to the smoke suite.","P2","640"
"NEW-16","NEW-16","CMake build_engine custom target invokes a bash script (broken on Windows cmd)","new","minor","this-pass","confirmed","V1","CMakeLists.txt:43–46","this pass","add_custom_target(build_engine COMMAND ${CMAKE_SOURCE_DIR}/scripts/build_gifsicle.sh) with no interpreter. On a Windows CMake GUI build (the path U-B8's fix will use) this target cannot run unless the generator happens to be bash. USES_TERMINAL does not supply bash.","Linux-only hook left as a convenience.","CMakeLists.txt:43–46 verbatim. No cmake -E env bash, no WINDOWS_ENGINE option.","Find bash or skip the target on Windows; document that engine builds go through the script. Do not pretend CMake builds the engine on Windows.","P1","650"
